b,alpha,status
5.20207087925,6.38087986313,escaped
5.20220389527,6.3587256247,escaped
5.2023399008,6.33657283494,escaped
5.20247896303,6.31442152264,escaped
5.20262115065,6.29227171734,escaped
5.2027665339,6.27012344913,escaped
5.20291518461,6.24797674856,escaped
5.20306717622,6.2258316467,escaped
5.2032225838,6.2036881754,escaped
5.20338148413,6.18154636721,escaped
5.20354395572,6.15940625518,escaped
5.20371007882,6.13726787284,escaped
5.20387993549,6.1151312546,escaped
5.20405360966,6.09299643559,escaped
5.20423118712,6.07086345156,escaped
5.2044127556,6.04873233872,escaped
5.20459840478,6.02660313422,escaped
5.2047882264,6.00447587601,escaped
5.20498231421,5.9823506027,escaped
5.2051807641,5.9602273534,escaped
5.20538367411,5.93810616824,escaped
5.20559114448,5.91598708819,escaped
5.2058032777,5.89387015493,escaped
5.20602017857,5.87175541069,escaped
5.20624195424,5.84964289884,escaped
5.20646871426,5.82753266358,escaped
5.20670057068,5.8054247499,escaped
5.20693763801,5.78331920341,escaped
5.20718003338,5.76121607094,escaped
5.20742787653,5.73911540023,escaped
5.20768128991,5.71701723973,escaped
5.20794039869,5.69492163877,escaped
5.20820533089,5.67282864789,escaped
5.20847621738,5.65073831862,escaped
5.20875319199,5.62865070312,escaped
5.20903639154,5.60656585478,escaped
5.20932595594,5.58448382814,escaped
5.20962202823,5.5624046787,escaped
5.20992475469,5.54032846274,escaped
5.21023428486,5.51825523796,escaped
5.21055077165,5.49618506324,escaped
5.21087437141,5.4741179982,escaped
5.21120524401,5.45205410376,escaped
5.2115435529,5.42999344223,escaped
5.2118894652,5.40793607694,escaped
5.21224315181,5.38588207217,escaped
5.21260478745,5.36383149383,escaped
5.21297455077,5.34178440907,escaped
5.21335262445,5.3197408859,escaped
5.21373919524,5.29770099396,escaped
5.21413445413,5.27566480434,escaped
5.21453859638,5.25363238909,escaped
5.21495182164,5.23160382178,escaped
5.21537433404,5.20957917762,escaped
5.21580634232,5.18755853294,escaped
5.21624805989,5.16554196546,escaped
5.21669970497,5.14352955475,escaped
5.21716150068,5.1215213816,escaped
5.21763367514,5.09951752818,escaped
5.21811646162,5.07751807863,escaped
5.21861009862,5.05552311842,escaped
5.21911483,5.03353273443,escaped
5.21963090512,5.01154701565,escaped
5.2201585789,4.98956605242,escaped
5.22069811205,4.96758993664,escaped
5.22124977108,4.94561876243,escaped
5.22181382853,4.92365262517,escaped
5.22239056305,4.90169162217,escaped
5.22298025955,4.87973585286,escaped
5.22358320935,4.85778541798,escaped
5.22419971032,4.83584042053,escaped
5.22483006701,4.81390096552,escaped
5.22547459084,4.79196715937,escaped
5.22613360019,4.77003911111,escaped
5.22680742064,4.74811693143,escaped
5.22749638506,4.726200733,escaped
5.2282008338,4.70429063103,escaped
5.22892111487,4.68238674219,escaped
5.22965758411,4.6604891859,escaped
5.23041060533,4.63859808353,escaped
5.23118055054,4.61671355849,escaped
5.2319678001,4.59483573701,escaped
5.23277274292,4.57296474689,escaped
5.23359577666,4.551100719,escaped
5.2344373079,4.52924378608,escaped
5.23529775237,4.50739408352,escaped
5.23617753515,4.48555174931,escaped
5.23707709085,4.46371692351,escaped
5.23799686387,4.44188974938,escaped
5.23893730859,4.42007037201,escaped
5.2398988896,4.39825893994,escaped
5.24088208194,4.37645560362,escaped
5.24188737131,4.35466051692,escaped
5.24291525434,4.33287383589,escaped
5.24396623882,4.31109571989,escaped
5.24504084394,4.28932633076,escaped
5.24613960058,4.26756583354,escaped
5.24726305154,4.245814396,escaped
5.24841175182,4.22407218911,escaped
5.24958626888,4.20233938672,escaped
5.25078718296,4.18061616598,escaped
5.25201508732,4.15890270693,escaped
5.25327058857,4.13719919318,escaped
5.25455430693,4.11550581111,escaped
5.25586687659,4.09382275101,escaped
5.25720894596,4.07215020581,escaped
5.25858117805,4.05048837266,escaped
5.25998425076,4.02883745135,escaped
5.26141885722,4.00719764592,escaped
5.26288570615,3.98556916348,escaped
5.26438552219,3.9639522149,escaped
5.26591904627,3.94234701499,escaped
5.26748703597,3.92075378175,escaped
5.2690902659,3.89917273767,escaped
5.27072952808,3.8776041085,escaped
5.27240563231,3.85604812409,escaped
5.27411940662,3.83450501855,escaped
5.27587169764,3.81297502948,escaped
5.27766337102,3.79145839898,escaped
5.27949531187,3.76995537328,escaped
5.28136842519,3.74846620244,escaped
5.28328363632,3.7269911412,escaped
5.28524189141,3.70553044858,escaped
5.28724415786,3.68408438769,escaped
5.28929142481,3.66265322627,escaped
5.29138470363,3.64123723682,escaped
5.29352502845,3.61983669606,escaped
5.2957134566,3.59845188534,escaped
5.2979510692,3.57708309098,escaped
5.30023897165,3.55573060402,escaped
5.30257829422,3.53439472015,escaped
5.30497019255,3.51307573998,escaped
5.30741584828,3.49177396917,escaped
